Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
45610346-29e9-df5c-f0b6-c239dc6af51c,2012-10-22,,999-80-2637,,,,Rickie717,Schoen8,,,,white,nonhispanic,F,Hudson  Massachusetts  US,218 Wisozk Burg Suite 99,Great Barrington,Massachusetts,Berkshire County,,42.26634512682568,-73.3376569693443,299618.33999999997,0.0
52f7cd0e-84e7-df19-6829-75dc875edfcf,1993-10-18,,999-65-4700,S99955017,X15219547X,Mr.,Diego848,Conroy74,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,885 Towne Skyway Apt 80,Hopkinton,Massachusetts,Middlesex County,,42.195351563966604,-71.53148327448555,93906.096,37735.824
dc4b2797-d170-4315-db19-6e17fd657b27,1990-09-02,,999-46-5269,S99940977,X21331547X,Mrs.,Odell776,Swaniawski813,,Torp761,M,white,nonhispanic,F,Westborough  Massachusetts  US,1000 Haley Wynd Unit 34,Hadley,Massachusetts,Hampshire County,,42.39285319810029,-72.55401767304248,1842730.381,243619.609
da1075ed-a9ae-1be9-e7d3-6432d22e62c2,1991-09-29,,999-17-2281,S99932539,X66851899X,Mr.,Cyril535,Langworth352,,,M,white,nonhispanic,M,Frankfurt  Hesse  DE,127 Kertzmann Haven,Falmouth,Massachusetts,Barnstable County,02540,41.572718429983524,-70.67619464614998,1562721.67,0.0
c3e7509f-ab22-2ee7-0e41-e5f64b5b2534,1980-05-28,,999-88-9782,S99931788,X18493251X,Mr.,Trinidad33,Runolfsdottir785,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,236 Green Drive,Woburn,Massachusetts,Middlesex County,01890,42.505501313773834,-71.16849331456847,1102645.8475000001,2066.9024999999997
79aa70db-44f5-a259-886a-58ba16fd6637,1996-05-04,,999-98-8586,S99993727,X30377899X,Mr.,Michel472,Murphy561,,,S,white,nonhispanic,M,Fiskdale  Massachusetts  US,603 Russel Divide Unit 28,Melrose,Massachusetts,Middlesex County,,42.43151702633329,-71.07246119409974,681043.1275000001,7148.5125
491104b7-9023-9a09-a419-eb17644b47d7,1969-12-08,,999-67-3968,S99928888,X31454546X,Mrs.,Joleen561,Dicki44,,Orn563,M,white,nonhispanic,F,Dartmouth  Massachusetts  US,1017 Gusikowski Burg Unit 18,Malden,Massachusetts,Middlesex County,,42.42085965475133,-71.01535746778372,1477132.6855000004,312401.64450000005
7675597f-a18c-75bd-bb26-6bac8b3fce79,1963-12-09,,999-51-8664,S99922677,X12670327X,Mr.,Arlie183,Glover433,,,S,white,nonhispanic,M,Halifax  Massachusetts  US,371 Gutkowski Arcade Apt 48,Quincy,Massachusetts,Norfolk County,02186,42.22982649743307,-70.98679853835105,2215272.7450000006,102895.005
f2f06604-7c3a-d6c7-0f66-fe9595874006,2011-01-20,,999-53-9828,,,,Romeo514,Sporer811,,,,hawaiian,nonhispanic,M,Plymouth  Massachusetts  US,1000 Kling Avenue Apt 88,Boston,Massachusetts,Suffolk County,02131,42.33491403457939,-71.01877865962332,198985.83,395.76
7541d21b-2652-cbf3-2481-9fc57236c886,1989-10-15,,999-80-3029,S99943432,X48712346X,Mr.,Linwood526,Larson43,,,M,white,nonhispanic,M,Acton  Massachusetts  US,1069 Pagac Annex,Boston,Massachusetts,Suffolk County,02132,42.292345176326265,-71.16255686992452,848993.5599999996,1558.7999999999997
73dd3dea-8670-1593-abee-9d9073698596,1947-02-15,,999-69-5613,S99965438,X18572799X,Mrs.,Pia232,Denesik803,,Bernhard322,M,white,nonhispanic,F,Peabody  Massachusetts  US,586 Marvin Ferry,Hingham,Massachusetts,Plymouth County,,42.25187434302864,-70.85085765854423,3193596.9275000007,612548.4524999999
e7817016-cd72-a4b8-6647-4f2ef70f17e5,2002-05-19,,999-71-9217,S99960701,X56489235X,Ms.,Joleen561,Witting912,,,,black,hispanic,F,Braintree  Massachusetts  US,799 Pacocha Pathway Suite 40,Beverly,Massachusetts,Essex County,,42.55704223074812,-70.88102342545714,534314.43,9418.89
0260bf04-8000-86e6-ca1e-54c406b15365,1991-10-22,,999-84-9439,S99990200,X87870100X,Mrs.,Kelli207,Okuneva707,,Emard19,M,white,nonhispanic,F,Middleton  Massachusetts  US,222 Sporer Wall Unit 12,Grafton,Massachusetts,Worcester County,,42.19278648277249,-71.67927303244845,848112.613,229048.23700000002
955744ee-95be-9de8-8500-219e888f2220,1965-05-19,,999-21-4989,S99969914,X74462939X,Mrs.,Majorie11,Parker433,,Auer97,M,asian,nonhispanic,F,Yokohama  Kanagawa  JP,975 Gerlach Spur Suite 61,Lowell,Massachusetts,Middlesex County,01851,42.595952621490135,-71.29390540911743,1193481.9910000004,755659.6589999999
3c8d914a-6731-ba9a-51c6-a36b33505d05,2014-10-06,,999-75-7113,,,,Cythia210,Heaney114,,,,white,nonhispanic,F,Abington  Massachusetts  US,1003 Nienow Wall,Everett,Massachusetts,Middlesex County,02149,42.407217032338565,-71.04979953863129,228971.75999999998,56.21999999999992
9a39da0c-7a40-8dcd-6bab-3f741513883b,2012-05-13,,999-67-7158,,,,Mckinley734,Howell947,,,,white,nonhispanic,M,Danvers  Massachusetts  US,659 Grimes Route Suite 37,Somerville,Massachusetts,Middlesex County,02140,42.391699595863116,-71.13342029415699,34858.238,5365.752
c935f02b-7aac-ed50-ee08-7064a7438daf,1964-02-05,,999-87-1480,S99919825,X34124984X,Mrs.,Tamika537,Wilkinson796,,Jacobs452,M,white,nonhispanic,F,Barnstable  Massachusetts  US,252 Hahn Frontage road,Attleboro,Massachusetts,Bristol County,,41.9614680722542,-71.29573771134443,1600902.371,554392.779
572e5b20-fecb-027f-0d46-3da52e15a47a,1943-07-21,,999-98-6208,S99982568,X87522242X,Mrs.,Valda518,McLaughlin530,,Franecki195,M,white,nonhispanic,F,Lee  Massachusetts  US,258 King Row Suite 13,Brockton,Massachusetts,Plymouth County,02301,42.121822972901654,-71.07741424563422,2168353.7970000007,203521.95300000004
95ddfbe4-4639-7dfd-c80a-9059f7921fbb,1957-12-07,,999-46-8505,S99985152,X86508469X,Mrs.,Gillian484,Adams676,,Schmidt332,M,white,nonhispanic,F,Milton  Massachusetts  US,326 Marquardt Street Suite 3,Cambridge,Massachusetts,Middlesex County,02140,42.417093957822054,-71.06982153310993,2086939.1000000006,612884.39
22095a3f-e9b9-af44-1d08-dbdc2ca41526,1954-05-15,,999-20-5134,S99917399,X6644799X,Mrs.,Elvira561,Canales95,,Tamayo777,M,white,hispanic,F,San Juan  Puerto Rico  PR,1046 Fisher Heights,Boston,Massachusetts,Suffolk County,02134,42.36512676975814,-71.02857911991698,1998850.5559999999,444485.814
